name,processor,ram,storage,display,graphics,prices
DellInspiron14PlusLaptop,IntelCoreUltra7,16GBRAM,1TBSSD,14inch(35.56cm),Intel?Arc?Graphics,"97,990"
StoreDisplayUnit-AcerSwiftGo14AILaptop,IntelCoreUltra5,16GBRAM,512GBSSD,14inch(35.56cm)OLEDDisplay,IntelARCGraphics,"73,000"
MicrosoftSurfacePro,11thEdition)(SnapdragonXElite(12Core),16GBRAM,512GBSSD,13inch(33.02cm)QualcommGraphics,Win11,"1,61,990"
StoreDisplayUnit-AppleMacBookAir15InchM2ChipMQKT3HN/A,8GBRAM,512GBSSD,15.3inch(38.91cm)LiquidRetinaDisplay,10coreGPU,macOS,"1,06,490"
StoreDisplayUnit-AppleMacBookAirM2ChipMQKW3HN/A,8GBRAM,256GBSSD,15.3inch(38.91cm)LiquidRetinaDisplay,10coreGPU,macOS,"92,790"
HPOMENGamingLaptop,IntelCore7,24GBRAM,1TBSSD,16Inch(40.6cm)diagonal2KDisplay,8GB-NVIDIAGeForceRTX5050Graphics,"1,37,999"
AppleMacBookNeoA18Prochip,8GBRAM,512GBSSD,13InchLiquidRetinaDisplay,6‑coreCPUand5‑coreGPU,TouchID,"73,490"
AppleMacBookNeoA18Prochip,8GBRAM,256GBSSD,13InchLiquidRetinaDisplay,6‑coreCPUand5‑coreGPU,Blush,"66,490"
AppleMacBookNeoA18Prochip,8GBRAM,512GBSSD,13InchLiquidRetinaDisplay,6‑coreCPUand5‑coreGPU,TouchID,"73,490"
AppleMacBookNeoA18Prochip,8GBRAM,256GBSSD,13InchLiquidRetinaDisplay,6‑coreCPUand5‑coreGPU,Indigo,"66,490"
AppleMacBookNeoA18Prochip,8GBRAM,512GBSSD,13InchLiquidRetinaDisplay,6‑coreCPUand5‑coreGPU,TouchID,"73,490"
AppleMacBookNeoA18Prochip,8GBRAM,512GBSSD,13InchLiquidRetinaDisplay,6‑coreCPUand5‑coreGPU,TouchID,"73,490"
AppleMacBookNeoA18Prochip,8GBRAM,256GBSSD,13InchLiquidRetinaDisplay,6‑coreCPUand5‑coreGPU,Silver,"66,490"
AppleMacBookAirM5Chip,16GBRAM,512GBSSD,15InchLiquidRetinaDisplay,10‑coreCPUand10‑coreGPU,SkyBlue,"1,37,990"
AppleMacBookAirM5Chip,16GBRAM,512GBSSD,15InchLiquidRetinaDisplay,10‑coreCPUand10‑coreGPU,Midnight,"1,37,990"
AppleMacBookAirM5Chip,16GBRAM,512GBSSD,15InchLiquidRetinaDisplay,10‑coreCPUand10‑coreGPU,Starlight,"1,37,990"
AppleMacBookAirM5Chip,16GBRAM,512GBSSD,15InchLiquidRetinaDisplay,10‑coreCPUand10‑coreGPU,Silver,"1,37,990"
AppleMacBookAirM5Chip,16GBRAM,1TBSSD,13InchLiquidRetinaDisplay,10‑coreCPUand10‑coreGPU,SkyBlue,"1,28,690"
AppleMacBookAirM5Chip,16GBRAM,512GBSSD,13InchLiquidRetinaDisplay,10‑coreCPUand8‑coreGPU,SkyBlue,"1,09,990"
AppleMacBookAirM5Chip,16GBRAM,512GBSSD,13InchLiquidRetinaDisplay,10‑coreCPUand8‑coreGPU,Midnight,"1,09,990"
AppleMacBookAirM5Chip,16GBRAM,512GBSSD,13InchLiquidRetinaDisplay,10‑coreCPUand8‑coreGPU,Starlight,"1,09,990"
HPLaptop,13thGenIntelCorei3,8GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,IntelUHDGraphics,"48,999"
AppleMacBookAirM5Chip,16GBRAM,512GBSSD,13InchLiquidRetinaDisplay,10‑coreCPUand8‑coreGPU,Silver,"1,09,990"
ASUSVivobookS16AIPoweredLightWeightLaptop,AMDRyzenAI5,16GBRAM,512GBSSD,16Inch(40.64cm)FHD+Display,AMDXDNANPUupto50TOPS,"81,990"
SamsungGalaxyBook6Pro,IntelCoreUltra7,32GBRAM,1TBSSD,16Inch(40.62cm)WQXGA+DisplaywithTouchscreen,IntelGraphics,"2,19,990"
